||Month : 11 - 2015|||Vehical : All Vehicals||||By user : asiri
NO|Bill No|Customer|Tol Sale|Varience|Expiries|Damages|Discount|GR|F/Issu|Cash|Cheques|Debit|Credits
73|A00873|Damsari st - THU|1969|-.52|0|0|0|0|0|1000|0|0|969|
74|A00869|Sampath st - THU|1701|-.39|0|0|0|0|0|1701|0|0|0|
75|A00668|Jayawardana st - THU|11590|-.44|0|0|482.94|0|0|9590|0|0|2000|
76|A00513|Madumadavi st - THU|3552|-.68|0|0|0|0|0|2000|0|0|0|
77|A00507|Gunawardana st - THU|8367|11.51|0|0|348.15|0|0|2367|0|0|0|
78|A00261|Palliyaguru st - THU|5701|-.4|0|0|0|0|0|5701|0|0|0|
79|A00096|Dumindu st - THU|3295|-.76|0|0|0|0|0|1295|0|0|0|
80|A00356|Sriyani st - FRI|5341|324.23|2524.05|0|209.03|0|0|1341|0|0|0|
81|A00874|Chandana st - THU|2754|-.69|0|0|0|0|0|0|2754|0|0|
82|40663|Priyantha st - THU|5428|-.21|0|0|226.18|0|0|0|5428|0|0|
83|40692|Thilak st - FRI|5236|-.6|90|0|0|0|0|736|0|0|4500|
84|A00985|Piyasiri st - FRI|5751|1.44|0|0|239.56|0|0|1|5750|0|0|
85|A00990|Ariyarathna st - FRI|1126|-.5|67.5|0|0|0|0|1126|0|0|0|
86|40695|Nanayakkara st - FRI|7224|-.05|0|0|461.11|0|0|7224|0|0|0|
87|40698|Sunil st - FRI|2536|.38|0|0|0|0|0|2536|0|0|0|
88|40689|Priyantha st - FRI|832|-.5|0|0|0|0|0|832|0|0|0|
89|40553|Dinuka st - FRI|10398|1.49|0|0|433.19|0|0|10398|0|0|0|
90|A00981|Ishara st - FRI|1054|-.8|0|0|0|0|0|1054|0|0|0|
91|A00979|Podi kade - FRI|472|-.5|0|0|0|0|0|472|0|0|0|
92|A00983|Deegayu st - FRI|799|-.5|0|0|0|0|0|799|0|0|0|
93|A00982|Jayawardana st - FRI|1316|-.58|0|0|0|0|0|1316|0|0|0|
94|A00993|Hansaka st - FRI|1944|-.6|0|0|0|0|0|1944|0|0|0|
95|A00989|Abesena st - FRI|1723|-.5|0|0|0|0|0|1723|0|0|0|
96|A00992|Nipuna st - FRI|1150|-.5|0|0|0|0|0|1150|0|0|0|
97|40697|K.V.R st - FRI|1668|2.13|1400.17|0|0|0|0|1668|0|0|0|
98|40686|Niroshan st - FRI|5844|-.33|0|0|243.51|0|0|5844|0|0|0|
99|40693|Nadeeka st - FRI|2049|0|85.5|0|0|0|0|2049|0|0|0|
100|40691|Vithanage st - FRI|1000|-1.28|158.4|0|0|0|0|1000|0|0|0|
101|40690|Backery shop - FRI|2146|-.5|0|0|0|0|0|2146|0|0|0|
102|40688|Dasuni st - FRI|1350|0|0|0|0|0|0|1350|0|0|0|
103|40687|Bandidola st - FRI|1210|-.5|0|0|0|0|0|1210|0|0|0|
104|40684|Sugath st - FRI|5091|-.19|194.48|0|212.13|0|0|5091|0|0|0|
105|40699|A.K.H. st - FRI|535|.25|0|0|0|0|0|535|0|0|0|
106|40682|Sehansa Ph - FRI|265|.25|0|0|0|0|0|265|0|0|0|
107|40680|Jeewan F/S - FRI|3383|-.2|0|0|0|0|0|3383|0|0|0|
108|406810|Jeewantha st - THU|745|-.5|0|0|0|0|0|745|0|0|0|
109|A00994|Disanayaka st - THU|1139|-.64|0|0|0|0|0|1139|0|0|0|
110|A009950|Mahinda st - THU|439|-.5|198|0|0|0|0|439|0|0|0|
111|A00986|Janapriya Hotel - THU|1233|0|0|0|0|0|0|1233|0|0|0|
112|40696|Kavindu Hotel - FRI|9643|.38|0|0|401.78|0|0|4000|0|0|5643|
113|A00619|Amarakanthi st - FRI|6207|.24|0|0|0|0|0|6207|0|0|0|
114|A00190|Ganewatta T/R - FRI|1538|-.34|134.25|0|0|0|0|1538|0|0|0|
115|A00850|Piyasiri st - FRI|7662|1.18|0|0|319.2|0|0|62|7600|0|0|
116|A00832|M.H. Tr - FRI|4574|-.37|0|0|190.6|0|0|0|4574|0|0|
117|A00991|M.H. Tr - FRI|3010|-.25|0|0|125.43|0|0|0|0|0|3010|
118|A00997|Bandara st - SAT|1800|-2.92|81|0|75.12|0|0|1800|0|0|0|
119|A00998|Ashara st - SAT|810|0|540|0|0|0|0|810|0|0|0|
120|A01000|Sampath st - SAT|810|0|0|0|0|0|0|810|0|0|0|
121|A01001|Samantha st - SAT|933|-.75|0|0|0|0|0|933|0|0|0|
122|A01002|Wimalasena st - SAT|1470|-.6|90|0|0|0|0|1470|0|0|0|
123|A01003|Nagahawatta st - SAT|1679|-.35|0|0|0|0|0|1679|0|0|0|
124|A01005|Liyanage st - SAT|706|-.5|0|0|0|0|0|706|0|0|0|
125|A01008|C.Liyanage st - SAT|855|0|90|0|0|0|0|855|0|0|0|
126|A01011|Jayantha st - SAT|1825|-.52|0|0|0|0|0|1825|0|0|0|
127|A01009|Siri T/R - SAT|256|-.5|162|0|0|0|0|256|0|0|0|
128|A01014|Gamage st - Panangala - SAT|616|-.29|0|0|0|0|0|616|0|0|0|
129|A01015|N.K.S st - SAT|1350|0|0|0|0|0|0|1350|0|0|0|
130|A01017|Wimalasena st - SAT|2922|0|0|0|0|0|0|2922|0|0|0|
131|A01016|S.Liyanage st - SAT|391|-.08|0|0|0|0|0|391|0|0|0|
132|A01004|Aluth Kade - SAT|427|-.5|0|0|0|0|0|427|0|0|0|
133|A00999|Chathuranga st - SAT|697|-.5|0|0|0|0|0|697|0|0|0|
134|A00996|Liyange st - Homadola - SAT|135|0|405|0|0|0|0|135|0|0|0|
135|A00922|Sriyani st - SAT|11261|1.55|657.4|0|469.14|0|0|1261|0|0|10000|
136|A01037|Wasantha st - TUE|2529|0|0|0|0|0|0|2529|0|0|0|
137|40556|Elawalu kade - TUE|540|0|0|0|0|0|0|540|0|0|0|
138|A01021|Hasitha  st - TUE|2767|-.5|0|0|0|0|0|2767|0|0|0|
139|A01023|Suriyaarachchi st - TUE|648|-.3|0|0|0|0|0|648|0|0|0|
140|A01028|Senevirathne st - TUE|2578|-.56|144|0|0|0|0|2578|0|0|0|
141|A01029|Madushani st - TUE|981|0|0|0|0|0|0|981|0|0|0|
142|A01045|Senanayaka st - TUE|4771|-.47|0|0|198.81|0|0|271|4500|0|0|
143|A01031|Sandaru st - TUE|2200|-.08|0|0|0|0|0|2200|0|0|0|
144|40540|Mallika st - TUE|405|0|0|0|0|0|0|405|0|0|0|
145|A01038|Ananda st - TUE|7880|-.54|0|0|0|0|0|7880|0|0|0|
146|A01034|Yasindu st - TUE|2942|-.42|0|0|0|0|0|2942|0|0|0|
147|A01035|Senanayaka st - TUE|1046|-.58|0|0|0|0|0|1046|0|0|0|
148|A01040|S.T st - TUE|360|0|0|0|0|0|0|360|0|0|0|
149|A01041|Sena T/R - TUE|2169|0|0|0|0|0|0|2169|0|0|0|
150|A01042|T-ye st - TUE|2180|-.82|328.7|0|0|0|0|2180|0|0|0|
151|A01043|Isuru st - TUE|1035|0|0|0|0|0|0|1035|0|0|0|
152|69747|Tharush st - TUE|602|-.73|0|0|0|0|0|602|0|0|0|
153|A01033|Sahana F/C - TUE|10594|-1.01|1038|0|441.46|0|0|0|10594|0|0|
154|A00962|Nagahawatta st - TUE|426|-.85|164.35|0|0|0|0|426|0|0|0|
155|A00964|M.G.K. st - TUE|2169|-.68|807|0|0|0|0|2169|0|0|0|
156|A00965|Eranda st - TUE|1075|-.5|0|0|0|0|0|1075|0|0|0|
157|A00952|Thilina st - TUE|5963|.11|0|0|248.45|0|0|5963|0|0|0|
158|A01030|Rasindu st - MON|925|-.5|0|0|0|0|0|925|0|0|0|
159|A01118|Gayan st - MON|1582|-.52|0|0|0|0|0|1582|0|0|0|
160|A01094|K.K.G. st - MON|140|.5|171|0|0|0|0|140|0|0|0|
161|A01100|Pasindu st - MON|108|0|0|0|0|0|0|108|0|0|0|
162|A01105|Rathnasiri st - MON|2030|-.4|0|0|129.6|0|0|2030|0|0|0|
163|A01117|Disanayaka Hotel - MON|2469|0|0|0|0|0|0|2469|0|0|0|
164|A01097|Dasun st - MON|2559|.08|567|0|0|0|0|2559|0|0|0|
165|A01024|Jayasiri st - MON|972|0|0|0|0|0|0|972|0|0|0|
166|A01026|Gunarathna st - MON|378|0|0|0|0|0|0|378|0|0|0|
167|A01114|Sampath st - MON|999|0|0|0|0|0|0|999|0|0|0|
168|A01113|Bataketiya st - MON|2498|1.23|0|0|104.03|0|0|2498|0|0|0|
169|A01112|Malindu st - MON|1201|-.5|172.5|0|0|0|0|1201|0|0|0|
170|A01106|Maddegama st - MON|2165|-.47|222.38|0|90.23|0|0|2165|0|0|0|
171|A01103|K.G.K. st - MON|2207|-30.83|299.2|0|93.24|0|0|2207|0|0|0|
172|A01104|K.G.K Hotel - MON|945|0|0|0|0|0|0|945|0|0|0|
173|A01098|Pathirana Hotel - MON|1163|-.3|299.2|0|0|0|0|1163|0|0|0|
174|A01099|Hakpitiya T/R - MON|243|-.65|483.85|0|0|0|0|243|0|0|0|
175|A01093|Thennavila St - MON|4706|.27|222.38|0|300.37|0|0|0|4706|0|0|
176|A01116|Susiri st - MON|6039|-.48|0|0|251.64|0|0|0|6039|0|0|
177|A00221|Chandika st - MON|13957|5.73|0|0|0|0|0|7457|0|0|0|
178|A00693|Isuru Hotel - MON|4032.7|0|0|0|0|0|0|4032.7|0|0|0|
179|A00431|Ranjith T Room - MON|3131|-.03|1013.47|0|0|0|0|1000|0|0|1500|
180|A00242|Darsha Tea Room - MON|5487|-.34|0|0|0|0|0|848|0|0|4639|
181|40619|Sena Stores - MON|5503|-.16|362.35|0|0|0|0|5503|0|0|0|
182|A01175|Dananjaya st - THU|7898|-.4|0|0|0|0|0|7740|0|0|158|
183|A01183|Palliyaguru st - THU|11248|-.75|239.6|0|0|0|0|1248|0|0|10000|
184|A01191|Chandana st - THU|1126|-.5|0|0|0|0|0|500|0|0|626|
185|A01178|Vijaya st - THU|1152|0|0|0|0|0|0|1152|0|0|0|
186|A01180|Udaya Kumara st - THU|3375|-.18|0|0|0|0|0|3375|0|0|0|
187|A01182|W.P.G st - THU|1154|-.16|0|0|0|0|0|1154|0|0|0|
188|A01194|Madura st - THU|2260|-.22|0|0|0|0|0|2260|0|0|0|
189|A01196|Gamage st - THU|1546|-.92|0|0|0|0|0|1546|0|0|0|
190|A01201|Rathna st - THU|2798|-1.36|90|0|116.64|0|0|2798|0|0|0|
191|A01202|Wije st - THU|3436|-10.12|0|0|219.96|0|0|3436|0|0|0|
192|A01235|Jayawardana st - THU|11972|-.39|0|0|498.85|0|0|11972|0|0|0|
193|A01208|Loku mahaththayage kade - THU|693|0|0|0|0|0|0|693|0|0|0|
194|A01203|Tamilsha st - THU|5406|-.95|0|0|225.29|0|0|5406|0|0|0|
195|A01199|Subasinghe st - THU|2068|-.5|0|0|0|0|0|2068|0|0|0|
196|A01200|Priyantha st - THU|4090|-.62|0|0|170.44|0|0|0|4090|0|0|
197|A00086|Asiri st - THU|9865|.21|0|0|0|0|0|800|0|0|1700|
198|A01177|Get Well Pharmacy - THU|2949|-.04|0|0|0|0|0|0|2949|0|0|
199|A00114|Sakura st - THU|11268|.27|738|0|469.49|0|0|7500|0|0|0|
