||Month : 11 - 2015|||Vehical : All Vehicals||||By user : asiri
NO|Bill No|Customer|Tol Sale|Varience|Expiries|Damages|Discount|GR|F/Issu|Cash|Cheques|Debit|Credits
313|A01282|Ananda st - TUE|3618|0|0|0|0|0|0|3618|0|0|0|
314|A01284|Wijaya st - TUE|5977|-.19|0|0|249.05|0|0|5977|0|0|0|
315|A01280|T-ye st - TUE|1152|0|198|0|0|0|0|1152|0|0|0|
316|A01279|Isuru st - TUE|963|-.75|26.25|0|0|0|0|963|0|0|0|
317|A01290|Sandaru st - TUE|1456|-.9|0|0|0|0|0|1456|0|0|0|
318|A01295|Chamilani st - TUE|6542|-.85|39.6|0|272.62|0|0|6542|0|0|0|
319|A01297|Jayasiri st - TUE|889|-.5|0|0|0|0|0|889|0|0|0|
320|A01299|Suriyaarachchi st - TUE|1395|0|0|0|0|0|0|1395|0|0|0|
321|A01272|Hasitha  st - TUE|2334|-.05|0|0|0|0|0|2334|0|0|0|
322|A01270|Nagahawatta st - TUE|1624|-.5|117|0|0|0|0|1624|0|0|0|
323|A01248|Nilmini st - TUE|1798|.12|965.52|0|0|0|0|1798|0|0|0|
324|A01276|Rangana st - TUE|575|-.1|0|0|0|0|0|575|0|0|0|
325|A01274|Neluwa School - TUE|417|0|0|0|0|0|0|417|0|0|0|
326|A01293|Janidu st - TUE|1183|-.5|0|0|0|0|0|1183|0|0|0|

||Total|1028884.97|275.08|34033.71|0|27602.52|0|2478.08|673962.47|195515|0|101632|
||Upto Date Total|0|0|0|0|0|0|0|0|0|0|0
