||Month : 11 - 2015|||Vehical : All Vehicals||||By user : asiri
NO|Bill No|Customer|Tol Sale|Varience|Expiries|Damages|Discount|GR|F/Issu|Cash|Cheques|Debit|Credits
305|A01251|Vithanage st - SAT|1990|0|0|0|0|0|0|0|0|0|1990|
306|A01252|Elawalu kade - SAT|6377|-.64|0|0|265.74|0|0|0|0|0|6377|
307|A01253|Gamage st - Hiniduma - SAT|5295|-.6|0|0|220.65|0|0|5295|0|0|0|
308|A01254|Induwara st - MON|1726|-.92|0|0|0|0|0|1726|0|0|0|
309|A01255|Opatha st - SAT|2005|-.5|45|0|0|0|0|2005|0|0|0|
310|A01256|Kasun st - SAT|3570|-.02|0|0|0|0|0|3570|0|0|0|
311|A01257|Gunawardana st - SAT|1504|-.54|0|0|0|0|0|1504|0|0|0|
312|A01258|Akuressa st - SAT|2608|-.92|0|0|0|0|0|0|0|0|2608|
313|A01259|Amila st - SAT|3426|-1.08|0|0|0|0|0|0|0|0|3426|
314|A01260|N.K.S st - SAT|1362|-.02|0|0|0|0|0|1362|0|0|0|
315|A01261|Randika st - SAT|1282|-.5|0|0|0|0|0|1282|0|0|0|
316|A01262|Gamage st - Panangala - SAT|1573|-.52|0|0|0|0|0|1573|0|0|0|
317|A01263|Udaya st - SAT|1039|-.5|1269|0|0|0|0|0|0|0|1039|
318|A01264|K.V.R st - FRI|1671|-.04|0|0|0|0|0|1671|0|0|0|
319|A01265|Sunil st - FRI|762|-.6|0|0|0|0|0|762|0|0|0|
320|A01267|Aluth Kade - SAT|270|0|0|0|0|0|0|270|0|0|0|
321|A01268|Kanneliya Canteen - SAT|10377|-.94|0|0|0|0|0|10377|0|0|0|
322|A01269|Sethmi st - SAT|2065|-.68|0|0|0|0|0|0|0|0|2065|
323|A01270|Nagahawatta st - TUE|1624|-.5|117|0|0|0|0|1624|0|0|0|
324|A01271|Asiri Hotel - TUE|2160|0|0|0|0|0|0|0|0|0|2160|
325|A01272|Hasitha  st - TUE|2334|-.05|0|0|0|0|0|2334|0|0|0|
326|A01273|Thilina st - TUE|8076|-.67|0|0|336.53|0|0|0|0|0|8076|
327|A01274|Neluwa School - TUE|417|0|0|0|0|0|0|417|0|0|0|
328|A01275|Buddika st - TUE|8362|-.4|0|0|0|0|0|0|0|0|8362|
329|A01276|Rangana st - TUE|575|-.1|0|0|0|0|0|575|0|0|0|
330|A01277|Aruna st - TUE|1343|125.15|1253.75|0|0|0|0|0|0|0|1343|
331|A01278|Galpoththa st - TUE|3892|-.24|0|0|0|0|0|0|0|0|3892|
332|A01279|Isuru st - TUE|963|-.75|26.25|0|0|0|0|963|0|0|0|
333|A01280|T-ye st - TUE|1152|0|198|0|0|0|0|1152|0|0|0|
334|A01281|Akuressa st - TUE|5110|-.9|0|0|0|0|0|1110|0|0|4000|
335|A01282|Ananda st - TUE|3618|0|0|0|0|0|0|3618|0|0|0|
336|A01284|Wijaya st - TUE|5977|-.19|0|0|249.05|0|0|5977|0|0|0|
337|A01285|Wasantha st - TUE|2195|-.16|0|0|0|0|0|695|0|0|1500|
338|A01286|Liyanage st - Neluwa - TUE|5628|-.71|0|0|234.53|0|0|0|0|0|5628|
339|A01287|Eranda st - TUE|1614|0|0|0|0|0|0|0|0|0|1614|
340|A01288|Milina Padmini st - TUE|3465|-.4|0|0|0|0|0|0|0|0|3465|
341|A01289|Mallika st - TUE|1914|-.04|0|0|0|0|0|0|0|0|1914|
342|A01290|Sandaru st - TUE|1456|-.9|0|0|0|0|0|1456|0|0|0|
343|A01291|Senanayaka st - TUE|3203|-.85|986.1|0|133.49|0|0|3203|0|0|0|
344|A01292|Ravindu st - TUE|360|0|0|0|0|0|0|360|0|0|0|
345|A01293|Janidu st - TUE|1183|-.5|0|0|0|0|0|1183|0|0|0|
346|A01294|Yasarathna st - TUE|108|0|0|0|0|0|0|108|0|0|0|
347|A01295|Chamilani st - TUE|6542|-.85|39.6|0|272.62|0|0|6542|0|0|0|
348|A01296|Weerasekara st - TUE|3158|-.25|0|0|0|0|0|0|0|0|3158|
349|A01297|Jayasiri st - TUE|889|-.5|0|0|0|0|0|889|0|0|0|
350|A01298|Karunarathna st - TUE|1890|0|0|0|0|0|0|1890|0|0|0|
351|A01299|Suriyaarachchi st - TUE|1395|0|0|0|0|0|0|1395|0|0|0|
352|A01300|Jayawardana st - SAT|6248|-.35|316.8|0|0|0|0|0|0|0|6248|

||Total|1203311.63|98.45|35294.68|0|36989.82|0|3717.12|475732|133813|0|593766.63
||Value|1240301.45
