||Month : 11 - 2015|||Vehical : All Vehicals||||By user : asiri
NO|Bill No|Customer|Tol Sale|Varience|Expiries|Damages|Discount|GR|F/Issu|Cash|Cheques|Debit|Credits
74|40693|Nadeeka st - FRI|2049|0|85.5|0|0|0|0|2049|0|0|0|
75|40694|Amarakanthi st - FRI|2970|0|0|0|0|0|0|0|0|0|2970|
76|40695|Nanayakkara st - FRI|7224|-.05|0|0|461.11|0|0|7224|0|0|0|
77|40696|Kavindu Hotel - FRI|9643|.38|0|0|401.78|0|0|4000|0|0|5643|
78|40697|K.V.R st - FRI|1668|2.13|1400.17|0|0|0|0|1668|0|0|0|
79|40698|Sunil st - FRI|2536|.38|0|0|0|0|0|2536|0|0|0|
80|40699|A.K.H. st - FRI|535|.25|0|0|0|0|0|535|0|0|0|
81|69747|Tharush st - TUE|602|-.73|0|0|0|0|0|602|0|0|0|
82|A00583|Gaganasiri st - TUE|1030|-.5|198|0|0|0|0|1030|0|0|0|
83|A00592|Senevirathne st - TUE|341|-.19|2473.25|0|0|0|0|341|0|0|0|
84|A00900|Chamilani st - TUE|2014|-.56|0|0|83.94|0|0|2014|0|0|0|
85|A00922|Sriyani st - SAT|11261|1.55|657.4|0|469.14|0|0|1261|0|0|10000|
86|A00952|Thilina st - TUE|5963|.11|0|0|248.45|0|0|5963|0|0|0|
87|A00953|Ravindu st - TUE|4073|-.6|0|0|0|0|0|4073|0|0|0|
88|A00954|Vithanage st - WED|23557|-.15|0|0|3287.49|0|1239.04|557|23000|0|0|
89|A00955|Isuru st - TUE|3505|-.22|0|0|0|0|0|3505|0|0|0|
90|A00956|T-ye st - TUE|540|0|0|0|0|0|0|540|0|0|0|
91|A00957|Sena T/R - TUE|4753|-.67|0|0|0|0|0|1753|0|0|3000|
92|A00958|S.T st - TUE|675|0|0|0|0|0|0|675|0|0|0|
93|A00959|Akuressa st - TUE|1138|-.69|0|0|0|0|0|1138|0|0|0|
94|A00961|Nimalasiri st - TUE|486|0|0|0|0|0|0|486|0|0|0|
95|A00962|Nagahawatta st - TUE|426|-.85|164.35|0|0|0|0|426|0|0|0|
96|A00963|Liyanage st - Habarakanda - TUE|1425|-.6|0|0|59.4|0|0|1425|0|0|0|
97|A00964|M.G.K. st - TUE|2169|-.68|807|0|0|0|0|2169|0|0|0|
98|A00965|Eranda st - TUE|1075|-.5|0|0|0|0|0|1075|0|0|0|
99|A00967|Liyanage st - TUE|937|-.5|0|0|0|0|0|937|0|0|0|
100|A00968|Yasarathna st - TUE|108|0|0|0|0|0|0|108|0|0|0|
101|A00970|Jayasiri st - TUE|1375|-.5|0|0|0|0|0|1375|0|0|0|
102|A00971|Mahavita st - TUE|2635|-.5|81|0|0|0|0|0|2635|0|0|
103|A00972|Wasantha st - TUE|688|-.5|0|0|0|0|0|688|0|0|0|
104|A00973|Wijaya st - TUE|937|-.5|0|0|0|0|0|937|0|0|0|
105|A00975|Tharush st - TUE|675|0|0|0|0|0|0|675|0|0|0|
106|A00979|Podi kade - FRI|472|-.5|0|0|0|0|0|472|0|0|0|
107|A00981|Ishara st - FRI|1054|-.8|0|0|0|0|0|1054|0|0|0|
108|A00982|Jayawardana st - FRI|1316|-.58|0|0|0|0|0|1316|0|0|0|
109|A00983|Deegayu st - FRI|799|-.5|0|0|0|0|0|799|0|0|0|
110|A00984|Uthara Hotel - FRI|1578|0|0|0|0|0|0|0|0|0|1578|
111|A00985|Piyasiri st - FRI|5751|1.44|0|0|239.56|0|0|1|5750|0|0|
112|A00986|Janapriya Hotel - THU|1233|0|0|0|0|0|0|1233|0|0|0|
113|A00987|Ganewatta T/R - FRI|1962|-.93|0|0|0|0|0|1000|0|0|962|
114|A00988|Senadi Gr. - FRI|3021|0|0|0|0|0|0|0|0|0|3021|
115|A00989|Abesena st - FRI|1723|-.5|0|0|0|0|0|1723|0|0|0|
116|A00990|Ariyarathna st - FRI|1126|-.5|67.5|0|0|0|0|1126|0|0|0|
117|A00991|M.H. Tr - FRI|3010|-.25|0|0|125.43|0|0|0|0|0|3010|
118|A00992|Nipuna st - FRI|1150|-.5|0|0|0|0|0|1150|0|0|0|
119|A00993|Hansaka st - FRI|1944|-.6|0|0|0|0|0|1944|0|0|0|
120|A00994|Disanayaka st - THU|1139|-.64|0|0|0|0|0|1139|0|0|0|
121|A009950|Mahinda st - THU|439|-.5|198|0|0|0|0|439|0|0|0|
122|A00996|Liyange st - Homadola - SAT|135|0|405|0|0|0|0|135|0|0|0|
123|A00997|Bandara st - SAT|1800|-2.92|81|0|75.12|0|0|1800|0|0|0|
124|A00998|Ashara st - SAT|810|0|540|0|0|0|0|810|0|0|0|
125|A00999|Chathuranga st - SAT|697|-.5|0|0|0|0|0|697|0|0|0|
126|A01000|Sampath st - SAT|810|0|0|0|0|0|0|810|0|0|0|
127|A01001|Samantha st - SAT|933|-.75|0|0|0|0|0|933|0|0|0|
128|A01002|Wimalasena st - SAT|1470|-.6|90|0|0|0|0|1470|0|0|0|
129|A01003|Nagahawatta st - SAT|1679|-.35|0|0|0|0|0|1679|0|0|0|
130|A01004|Aluth Kade - SAT|427|-.5|0|0|0|0|0|427|0|0|0|
131|A01005|Liyanage st - SAT|706|-.5|0|0|0|0|0|706|0|0|0|
132|A01006|Keshani st - SAT|5159|-.91|0|0|0|0|0|5159|0|0|0|
133|A01007|Edirisingha st - SAT|3782|-.63|0|0|157.61|0|0|0|0|0|3782|
134|A01008|C.Liyanage st - SAT|855|0|90|0|0|0|0|855|0|0|0|
135|A01009|Siri T/R - SAT|256|-.5|162|0|0|0|0|256|0|0|0|
136|A01010|Gangasiri st - SAT|24253|-.15|986.1|0|1010.55|0|0|0|0|0|24253|
137|A01011|Jayantha st - SAT|1825|-.52|0|0|0|0|0|1825|0|0|0|
138|A01012|Elawalu kade - SAT|7756|-3.54|81|0|323.31|0|0|7756|0|0|0|
139|A01013|Wanigarathna st - SAT|22937|-.33|0|0|2194.76|0|1239.04|0|0|0|22937|
140|A01014|Gamage st - Panangala - SAT|616|-.29|0|0|0|0|0|616|0|0|0|
141|A01015|N.K.S st - SAT|1350|0|0|0|0|0|0|1350|0|0|0|
142|A01016|S.Liyanage st - SAT|391|-.08|0|0|0|0|0|391|0|0|0|
143|A01017|Wimalasena st - SAT|2922|0|0|0|0|0|0|2922|0|0|0|
144|A010180|Indika Hotel - SAT|2314|-.95|493.05|0|0|0|0|0|0|0|2314|
145|A01019|Amila st - SAT|4602|-.45|905.13|0|0|0|0|4602|0|0|0|
146|A01020|Asiri Hotel - TUE|2765|-.1|0|0|0|0|0|2765|0|0|0|
147|A01021|Hasitha  st - TUE|2767|-.5|0|0|0|0|0|2767|0|0|0|
148|A01022|Thilina st - TUE|7262|-.21|0|0|302.59|0|0|7262|0|0|0|
149|A01023|Suriyaarachchi st - TUE|648|-.3|0|0|0|0|0|648|0|0|0|
150|A01024|Jayasiri st - MON|972|0|0|0|0|0|0|972|0|0|0|
151|A01025|Sanduni st - TUE|2646|0|0|0|0|0|0|0|0|0|2646|
152|A01026|Gunarathna st - MON|378|0|0|0|0|0|0|378|0|0|0|
153|A01027|Senanayaka st - TUE|21090.53|1.53|1496.1|0|878.64|0|0|0|0|0|21090.53|
154|A01028|Senevirathne st - TUE|2578|-.56|144|0|0|0|0|2578|0|0|0|
155|A01029|Madushani st - TUE|981|0|0|0|0|0|0|981|0|0|0|
156|A01030|Rasindu st - MON|925|-.5|0|0|0|0|0|925|0|0|0|
157|A01031|Sandaru st - TUE|2200|-.08|0|0|0|0|0|2200|0|0|0|
158|A01032|Mallika st - TUE|1888|-.5|0|0|0|0|0|1888|0|0|0|
159|A01033|Sahana F/C - TUE|10594|-1.01|1038|0|441.46|0|0|0|10594|0|0|
160|A01034|Yasindu st - TUE|2942|-.42|0|0|0|0|0|2942|0|0|0|
161|A01035|Senanayaka st - TUE|1046|-.58|0|0|0|0|0|1046|0|0|0|
162|A01036|Eranda st - TUE|2050|-.92|0|0|0|0|0|2050|0|0|0|
163|A01037|Wasantha st - TUE|2529|0|0|0|0|0|0|2529|0|0|0|
164|A01038|Ananda st - TUE|7880|-.54|0|0|0|0|0|7880|0|0|0|
165|A01039|Milina Padmini st - TUE|2765|-.9|0|0|0|0|0|2765|0|0|0|
166|A01040|S.T st - TUE|360|0|0|0|0|0|0|360|0|0|0|
167|A01041|Sena T/R - TUE|2169|0|0|0|0|0|0|2169|0|0|0|
168|A01042|T-ye st - TUE|2180|-.82|328.7|0|0|0|0|2180|0|0|0|
169|A01043|Isuru st - TUE|1035|0|0|0|0|0|0|1035|0|0|0|
170|A01044|Galpoththa st - TUE|2356|-.15|0|0|0|0|0|2356|0|0|0|
171|A01045|Senanayaka st - TUE|4771|-.47|0|0|198.81|0|0|271|4500|0|0|
172|A01047|Karunarathna st - TUE|2227.16|-.84|0|0|0|0|0|0|0|0|2227.16|
173|A01048|Induwara st - SAT|2257|-.5|0|0|0|0|0|0|0|0|2257|
174|A01092|Wimalasiri st - WED|3856|-.4|724.2|0|0|0|0|0|0|0|3856|
175|A01093|Thennavila St - MON|4706|.27|222.38|0|300.37|0|0|0|4706|0|0|
176|A01094|K.K.G. st - MON|140|.5|171|0|0|0|0|140|0|0|0|
177|A01095|Sena Stores - MON|4598.64|0|0|0|191.61|0|0|0|0|0|4598.64|
178|A01097|Dasun st - MON|2559|.08|567|0|0|0|0|2559|0|0|0|
179|A01098|Pathirana Hotel - MON|1163|-.3|299.2|0|0|0|0|1163|0|0|0|
180|A01099|Hakpitiya T/R - MON|243|-.65|483.85|0|0|0|0|243|0|0|0|
181|A01100|Pasindu st - MON|108|0|0|0|0|0|0|108|0|0|0|
182|A01102|Sudath st - MON|23491|-.28|0|0|0|0|0|0|0|0|23491|
183|A01103|K.G.K. st - MON|2207|-30.83|299.2|0|93.24|0|0|2207|0|0|0|
184|A01104|K.G.K Hotel - MON|945|0|0|0|0|0|0|945|0|0|0|
185|A01105|Rathnasiri st - MON|2030|-.4|0|0|129.6|0|0|2030|0|0|0|
186|A01106|Maddegama st - MON|2165|-.47|222.38|0|90.23|0|0|2165|0|0|0|
187|A01110|Isuru Hotel - MON|9527|.8|0|0|0|0|0|0|0|0|9527|
188|A01111|P.M.G. st - MON|4008|-.51|328.7|0|167.02|0|0|0|0|0|4008|
189|A01112|Malindu st - MON|1201|-.5|172.5|0|0|0|0|1201|0|0|0|
190|A01113|Bataketiya st - MON|2498|1.23|0|0|104.03|0|0|2498|0|0|0|
191|A01114|Sampath st - MON|999|0|0|0|0|0|0|999|0|0|0|
192|A01116|Susiri st - MON|6039|-.48|0|0|251.64|0|0|0|6039|0|0|
193|A01117|Disanayaka Hotel - MON|2469|0|0|0|0|0|0|2469|0|0|0|
194|A01118|Gayan st - MON|1582|-.52|0|0|0|0|0|1582|0|0|0|
195|A01119|Bagya st - MON|3686|0|0|0|0|0|0|0|0|0|3686|
196|A011197|Sarwodaya co-op shop - THU|22558|-.21|0|0|2506.47|0|0|0|0|0|22558|
