1253,Saman st,Wanduramba Ovilana
1252,W eerasingha st,Wanduramba Ovilana
1251,Hamsa Gr.,Kithulampitiya Karapitiya
1250,Vijaya st,Ovilana Labuduwa
1249,Weenas st,Ovilana Labuduwa
1248,Sunil st,Nagoda Unanvitiya
1247,Janith hotel,Nagoda Unanvitiya
1246,Athapaththu st,Nagoda Unanvitiya
1245,Paranawaththa st,Nagoda Unanvitiya
1244,Colombo st,Nagoda Unanvitiya
1243,Wenuri st,Kottawa Yatalamatta
1242,Shakthi st,Kottawa Yatalamatta
1241,Vithana st-Bovitiyamulla,Kottawa Yatalamatta
1240,Chamara st,Kottawa Yatalamatta
1239,Bambaramulla st,Kottawa Yatalamatta
1238,Darshana st,Kottawa Yatalamatta
1237,Ihalamulla st,Kottawa Yatalamatta
1236,Vithana st-Naththewela,Kottawa Yatalamatta
1235,Vithana st,Kottawa Yatalamatta
1234,Chamodhi st,Kottawa Yatalamatta
1233,Amarasingha st,Kottawa Yatalamatta
1232,Sheela st,Kottawa Yatalamatta
1231,Sameera st,Kottawa Yatalamatta
1230,Sarath st,Kottawa Yatalamatta
1229,Jayasekara st,Kottawa Yatalamatta
1228,Lariru st,Kottawa Yatalamatta
1227,Priyantha st,Kuruduwatta  Bataduwa
1226,Chamara st,Yatalamattha Banbarapura
1225,Jagath st,Yatalamattha Banbarapura
1224,I V Hills tea factory,Yatalamattha Banbarapura
1223,Bandula st,Yatalamattha Banbarapura
1222,Co-op shop-nakiyadeniya,Yatalamattha Banbarapura
1221,Tea shakt hi st,Yatalamattha Banbarapura
1220,Ovilana st,Wanduramba Ovilana
1219,Chandana st,Wanduramba Ovilana
1218,W.H.U st,Wanduramba Ovilana
1217,Sumudu st,Wanduramba Ovilana
1216,Milk bar,Wanduramba Ovilana
1215,H.N.J st,Wanduramba Ovilana
1214,Albut st,Wanduramba Ovilana
1213,Dewmini st,Wanduramba Ovilana
1212,Chamidu st,Kuruduwatta Kottawa
1211,Vijaya st,Thalagaha Kuruduwatta
1210,Athukorala st,Thalagaha Kuruduwatta
1209,S.H.A st,Thalagaha Kuruduwatta
1208,Ravee st,Thalagaha Kuruduwatta
1207,Thilina st,Thalagaha Kuruduwatta
1206,Elawalu kade,Ovilana Labuduwa
1205,Gamage st 1,Ovilana Labuduwa
1204,Sesatha st,Ovilana Labuduwa
1203,M.R.M. St,Milidduwa Magalle
1202,Rice Gr.,Milidduwa Magalle
1201,Rathnayaka Hotel,Milidduwa Magalle
1200,Avishka st,Milidduwa Magalle
1199,P.L st,Nagoda Unanvitiya
1198,D.A.T. st,Nagoda Unanvitiya
1197,Sudara st,Nagoda Unanvitiya
1196,Udara st,Nagoda Unanvitiya
1195,Chaminda st,Narawala  Ambalanwatta
1194,Araliya st,Kottawa Yatalamatta
1193,Singhagiri st,Kottawa Yatalamatta
1192,Himali st,Kottawa Yatalamatta
1191,Okrathna st,Kottawa Yatalamatta
1190,Prabhath st,Kottawa Yatalamatta
1189,Co-op city,Kottawa Yatalamatta
1188,Lakshitha st,Kottawa Yatalamatta
1187,Janahitha st,Kottawa Yatalamatta
1186,Hewage st,Kottawa Yatalamatta
1185,Amitha st,Kottawa Yatalamatta
1184,Gagana st,Yatalamattha Banbarapura
1183,Janaka st,Yatalamattha Banbarapura
1182,Wijaya st,Yatalamattha Banbarapura
1181,Sunil st-rukmalgoda,Yatalamattha Banbarapura
1180,Sunil st-yatalamaththa,Yatalamattha Banbarapura
1179,Sunil st,Yatalamattha Banbarapura
1178,Rukmal st,Yatalamattha Banbarapura
1177,Hansagiri st,Yatalamattha Banbarapura
1176,Raja st,Yatalamattha Banbarapura
1175,Co-op city-udalamaththa,Yatalamattha Banbarapura
1174,Amara st 1,Wanduramba Ovilana
1173,Indrani st,Wanduramba Ovilana
1172,Amaradasa st,Wanduramba Ovilana
1171,Deurangi st,Wanduramba Ovilana
1170,Gonamulla Gr.,Kuruduwatta Kottawa
1169,Lahiru st,Kuruduwatta Kottawa
1168,Anura st-pitadeniya,Thalagaha Kuruduwatta
1167,Pathiraja st,Thalagaha Kuruduwatta
1166,Godakanda st,Thalagaha Kuruduwatta
1165,Upul st,Thalagaha Kuruduwatta
1164,Sriyalatha st,Thalagaha Kuruduwatta
1163,Mahimi st,Thalagaha Kuruduwatta
1162,M.K.G.C ST,Thalagaha Kuruduwatta
1161,Nandana st,Ovilana Labuduwa
1160,Priyantha st,Ovilana Labuduwa
1159,Priyanka st-talagaha,Ovilana Labuduwa
1158,Gunadasa st,Ovilana Labuduwa
1157,Kodithuwakku st,Ovilana Labuduwa
1156,S.N Gr.,Milidduwa Magalle
1155,Sena st,Nagoda Unanvitiya
1154,Sewana st,Nagoda Unanvitiya
1153,Jayasekara st,Nagoda Unanvitiya
1152,Sigiri hottel,Nagoda Unanvitiya
1151,Jayaweera st,Nagoda Unanvitiya
1150,Sajith st,Nagoda Unanvitiya
1149,Jagoda st,Nagoda Unanvitiya
1148,Hilmiya Gr.,Narawala  Ambalanwatta
1147,Suhada st,Kottawa Yatalamatta
1146,Wasantha st,Kottawa Yatalamatta
1145,Mahinda st,Kottawa Yatalamatta
1144,Anura st,Kottawa Yatalamatta
1143,Rasika st,Kottawa Yatalamatta
1142,Sirimanna st,Kottawa Yatalamatta
1141,Sisila st,Kottawa Yatalamatta
1140,Madushan trade senter,Kottawa Yatalamatta
1139,Ramani st,Kottawa Yatalamatta
1138, Suhada st,Kottawa Yatalamatta
1137,Shan st,Kottawa Yatalamatta
1136,Chandra st,Kottawa Yatalamatta
1135,Tapal kade,Kottawa Yatalamatta
1134,Kanthoruwatta st,Kottawa Yatalamatta
1133,Nilani st,Kottawa Yatalamatta
1132,Sahas st,Kottawa Yatalamatta
1131,Kumara st,Kottawa Yatalamatta
1130,Piyathilaka st,Kottawa Yatalamatta
1129,Rohana st,Kottawa Yatalamatta
1128,RAthna st,Kottawa Yatalamatta
1127,Sasika st,Kottawa Yatalamatta
1126,Sooriarachchi st,Kottawa Yatalamatta
1125,S.H st,Kottawa Yatalamatta
1124,Gamage st,Kottawa Yatalamatta
1123,Priyangika st,Kottawa Yatalamatta
1122,Abebandu st,Kottawa Yatalamatta
1121,M.D st,Kottawa Yatalamatta
1120,Vvijaya st,Kottawa Yatalamatta
1119,Thilina com.,Kuruduwatta  Bataduwa
1118,Priyankara st,Yatalamattha Banbarapura
1117,Gunawardana st,Yatalamattha Banbarapura
1116,Paranawaththa st,Yatalamattha Banbarapura
1115,Taranga st,Yatalamattha Banbarapura
1114,Sarawikrama st,Yatalamattha Banbarapura
1113,L.S.B st,Yatalamattha Banbarapura
1112,Sumanapala st,Yatalamattha Banbarapura
1111,Adiswaththa st,Yatalamattha Banbarapura
1110,Saman st -yatalamaththa,Yatalamattha Banbarapura
1109,Priyantha st,Yatalamattha Banbarapura
1108,Balagoda st,Yatalamattha Banbarapura
1107,Sugath st,Yatalamattha Banbarapura
1106,Vijesiri st,Yatalamattha Banbarapura
1105,Chandana pharmacy,Yatalamattha Banbarapura
1104,Gamage st,Yatalamattha Banbarapura
1103,Ananda st,Yatalamattha Banbarapura
1102,Lakshan st,Yatalamattha Banbarapura
1101,Pradeep st,Yatalamattha Banbarapura
1100,Oshini st,Wanduramba Ovilana
1099,Oshini st,Ovilana Labuduwa
1098,W.H.G st,Wanduramba Ovilana
1097,Dayas st,Wanduramba Ovilana
1096,Weerathunga st,Wanduramba Ovilana
1095,Elawalu kade,Wanduramba Ovilana
1094,Vijitha st,Wanduramba Ovilana
1093,P.L st,Wanduramba Ovilana
1092,Uthpala st,Wanduramba Ovilana
1091,Priyantha st 2,Wanduramba Ovilana
1090,Mihikata st,Wanduramba Ovilana
1089,Aberathna st,Wanduramba Ovilana
1088,Sisira st,Wanduramba Ovilana
1087,Deegoda st,Thalagaha Kuruduwatta
1086,Sumanadasa st,Thalagaha Kuruduwatta
1085,Sadun st,Thalagaha Kuruduwatta
1084,Ajantha st,Thalagaha Kuruduwatta
1083,W.H.D st,Thalagaha Kuruduwatta
1082,Palaturu kade,Ovilana Labuduwa
1081,Udara st,Ovilana Labuduwa
1080,Athula st,Ovilana Labuduwa
1079,W.K.Gunathilaka st,Ovilana Labuduwa
1078,Lakmali st,Ovilana Labuduwa
1077,Punsiri st,Ovilana Labuduwa
1076,Damith st,Ovilana Labuduwa
1075,Atapattu st,Milidduwa Magalle
1074,Vijitha st,Kottawa Yatalamatta
1073,P.L. st,Kottawa Yatalamatta
1072,Dilsada st,Kottawa Yatalamatta
1071,Deepal st,Kottawa Yatalamatta
1070,Priyanka st,Kottawa Yatalamatta
1069,Tharanga st,Kottawa Yatalamatta
1068,Thilina st,Kottawa Yatalamatta
1067,Vijaya st,Kuruduwatta  Bataduwa
1066,Manudi st,Kuruduwatta  Bataduwa
1065,N.W.G. st,Kuruduwatta  Bataduwa
1064,Meshin kade,Yatalamattha Banbarapura
1063,Jagoda st,Yatalamattha Banbarapura
1062,Rathna st,Dangedara  Elliot Road
1061,Leeds canteen,Dangedara  Elliot Road
1059,Ranmenika food city Talgampala,Kuruduwatta Kottawa
1058,Samaranayaka st - Kibiya,Wanduramba Ovilana
1057,Wickamanayaka st,Wanduramba Ovilana
1056,Raja st,Wanduramba Ovilana
1055,Thilona st,Wanduramba Ovilana
1054,Janaka st,Wanduramba Ovilana
1053,Ananda st 2,Wanduramba Ovilana
1052,Sampath st,Wanduramba Ovilana
1051,Tea shakthi,Wanduramba Ovilana
1050,Kapila st,Wanduramba Ovilana
1049,Santha st,Wanduramba Ovilana
1048,Wasantha st,Wanduramba Ovilana
